mapmaker_name,mapmaker_id,map_or_book_id,country,city,date
Charles de l'Escluse,26.0,E,Austria,Güssing,1583
Marcus Secsnagel,68.0,1,Austria,Salzburg,1551
Marcus Secsnagel,68.0,1.6,Austria,Salzburg,1650
Johann Cuspinianus,24.0,А,Austria,Vienna,1494
Johann Cuspinianus,24.0,B,Austria,Vienna,1508
Peter Apian,7.0,1,Austria,Vienna,1520
Johann Cuspinianus,24.0,C,Austria,Vienna,1522
Lorenz Fries,28.0,G.3,Austria,Vienna,1541
Wolfgang Lazius,49.0,4,Austria,Vienna,1545?
Wolfgang Lazius,49.0,5,Austria,Vienna,1545?
Augustin Hirschvogel,40.0,4,Austria,Vienna,1546
Augustin Hirschvogel,40.0,4.1,Austria,Vienna,1547
Augustin Hirschvogel,40.0,6,Austria,Vienna,1547
Augustin Hirschvogel,40.0,7,Austria,Vienna,1547
Augustin Hirschvogel,40.0,4.2,Austria,Vienna,1549
Augustin Hirschvogel,40.0,5.3,Austria,Vienna,1552
Wolfgang Lazius,49.0,D,Austria,Vienna,1556
Wolfgang Lazius,49.0,7,Austria,Vienna,1556
Augustin Hirschvogel,40.0,4.8,Austria,Vienna,1557
Wolfgang Lazius,49.0,11,Austria,Vienna,1558
Wolfgang Lazius,49.0,12,Austria,Vienna,1558
Wolfgang Lazius,49.0,14,Austria,Vienna,1558
Wolfgang Lazius,49.0,G,Austria,Vienna,1558
Wolfgang Lazius,49.0,H,Austria,Vienna,1558
Johann Sambucus,65.0,B,Austria,Vienna,1558
Johann Sambucus,65.0,D,Austria,Vienna,1558
Wolfgang Lazius,49.0,J,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,15,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,16,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,17,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,18,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,19,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,20,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,21,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,22,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,23,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,24,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,25,Austria,Vienna,by 1561
Wolfgang Lazius,49.0,26,Austria,Vienna,by 1561
Johann Sambucus,65.0,1,Austria,Vienna,1566
Johann Sambucus,65.0,2,Austria,Vienna,1566
Johann Sambucus,65.0,3,Austria,Vienna,1571
Caspar Brusch,16.0,H.1,Austria,Vienna,1692
Johann Sambucus,65.0,1.3,Austria,Vienna,1746
Johannes à Hoorn,42.0,1,Belgium,Antwerp,1526
Franciscus Monachus · 407,57.0,A,Belgium,Antwerp,1527-30
Peter Apian,7.0,Е,Belgium,Antwerp,1529
Gemma Frisius,29.0,А,Belgium,Antwerp,1529
Peter Apian,7.0,1.1,Belgium,Antwerp,1530
Gemma Frisius,29.0,B,Belgium,Antwerp,1530
Peter Apian,7.0,E,Belgium,Antwerp,1533
Gemma Frisius,29.0,A,Belgium,Antwerp,1533
Gemma Frisius,29.0,A.1,Belgium,Antwerp,1533
Peter Apian,7.0,E,Belgium,Antwerp,1534
Gemma Frisius,29.0,A,Belgium,Antwerp,1534
Christoph Zell,83.0,C.2,Belgium,Antwerp,1535
Christoph Zell,83.0,C.2,Belgium,Antwerp,1536
Peter Apian,7.0,E,Belgium,Antwerp,1537
Gemma Frisius,29.0,A,Belgium,Antwerp,1537
Peter Apian,7.0,E,Belgium,Antwerp,1539
Gemma Frisius,29.0,А,Belgium,Antwerp,1539
Gemma Frisius,29.0,A.2,Belgium,Antwerp,1539
Peter Apian,7.0,E,Belgium,Antwerp,1540
Gemma Frisius,29.0,A,Belgium,Antwerp,1540
Gemma Frisius,29.0,E,Belgium,Antwerp,1540
Gerard Mercator,56.0,A,Belgium,Antwerp,1541
Cornelis Anthoniszoon,6.0,8,Belgium,Antwerp,1543
Peter Apian,7.0,E,Belgium,Antwerp,1544
Sebastian Cabot,17.0,A,Belgium,Antwerp,1544
