mapmaker_name,mapmaker_id,map_or_book_id,country,city,date,earliest_date_estimate,latest_date_estimate,Map or Book,Original Edition
Charles de l'Escluse,26,E,Austria,Güssing,1583,1583.0,1583.0,Book,Yes
Marcus Secsnagel,68,1,Austria,Salzburg,1551,1551.0,1551.0,Map,Yes
Marcus Secsnagel,68,1.6,Austria,Salzburg,1650,1650.0,1650.0,Map,No
Johann Cuspinianus,24,A,Austria,Vienna,1494,1494.0,1494.0,Book,Yes
Johann Cuspinianus,24,B,Austria,Vienna,1508,1508.0,1508.0,Book,Yes
Peter Apian,7,1,Austria,Vienna,1520,1520.0,1520.0,Map,Yes
Johann Cuspinianus,24,C,Austria,Vienna,1522,1522.0,1522.0,Book,Yes
Lorenz Fries,28,G.3,Austria,Vienna,1541,1541.0,1541.0,Book,No
Wolfgang Lazius,49,4,Austria,Vienna,1545?,1540.0,1550.0,Map,Yes
Wolfgang Lazius,49,5,Austria,Vienna,1545?,1540.0,1550.0,Map,Yes
Augustin Hirschvogel,40,4,Austria,Vienna,1546,1546.0,1546.0,Map,Yes
Augustin Hirschvogel,40,4.1,Austria,Vienna,1547,1547.0,1547.0,Map,No
Augustin Hirschvogel,40,6,Austria,Vienna,1547,1547.0,1547.0,Map,Yes
Augustin Hirschvogel,40,7,Austria,Vienna,1547,1547.0,1547.0,Map,Yes
Augustin Hirschvogel,40,4.2,Austria,Vienna,1549,1549.0,1549.0,Map,No
Augustin Hirschvogel,40,5.3,Austria,Vienna,1552,1552.0,1552.0,Map,No
Wolfgang Lazius,49,D,Austria,Vienna,1556,1556.0,1556.0,Book,Yes
Wolfgang Lazius,49,7,Austria,Vienna,1556,1556.0,1556.0,Map,Yes
Augustin Hirschvogel,40,4.8,Austria,Vienna,1557,1557.0,1557.0,Map,No
Wolfgang Lazius,49,11,Austria,Vienna,1558,1558.0,1558.0,Map,Yes
Wolfgang Lazius,49,12,Austria,Vienna,1558,1558.0,1558.0,Map,Yes
Wolfgang Lazius,49,14,Austria,Vienna,1558,1558.0,1558.0,Map,Yes
Wolfgang Lazius,49,G,Austria,Vienna,1558,1558.0,1558.0,Book,Yes
Wolfgang Lazius,49,H,Austria,Vienna,1558,1558.0,1558.0,Book,Yes
Johann Sambucus,65,B,Austria,Vienna,1558,1558.0,1558.0,Book,Yes
Johann Sambucus,65,D,Austria,Vienna,1558,1558.0,1558.0,Book,Yes
Wolfgang Lazius,49,J,Austria,Vienna,by 1561,1551.0,1561.0,Book,Yes
Wolfgang Lazius,49,15,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
Wolfgang Lazius,49,16,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
Wolfgang Lazius,49,17,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
Wolfgang Lazius,49,18,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
Wolfgang Lazius,49,19,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
Wolfgang Lazius,49,20,Austria,Vienna,by 1561,1551.0,1561.0,Map,Yes
