,mapmaker_name,mapmaker_id,map_or_book_id,country,city,date,earliest_date_estimate,latest_date_estimate
696,Franciscus Monachus · 407,57,3,France,Paris,1540s?,,
766,Jean Jolivet,44,4,France,Paris,са. 1559-60,,
1027,Caspar Vopel,79,4,Germany,Cologne,1540s?,,
1134,Caspar Vopel,79,8.5,Germany,Cologne,"after
1630?",,
1525,Gerard Mercator,56,4.1,Italy,Rome,са. 1560-66,,
1526,Pirro Ligorio,51,1.1,Italy,Rome,1560s?,,
1545,Giacomo Gastaldi,30,2.4,Italy,Rome,1570s?,,
1726,Giacomo Gastaldi,30,C,Italy,Venice,"1548
30/ 3-64",,
1727,Paolo Giovio,33,2.2,Italy,Venice,"1548
30/ 3-64",,
1728,Paolo Giovio,33,G,Italy,Venice,"1548
30/ 3-64",,
1830,Giacomo Gastaldi,30,J,Italy,Venice,"15656 1 30/
98.4",,
1963,Martin Helwig,38,B,Poland,Wrocław,са. 1570?,,
1964,Martin Helwig,38,C,Poland,Wrocław,са. 1570?,,
